passenger_id,from_floor,to_floor,appear_tick,board_tick,alight_tick,miss_reason,waiting_passengers,elevator_snapshot
41,4,0,73,98,121,,1→0 | 1→0 | 5→0 | 5→0 | 5→0 | 4→0 | 1→0 | 3→0 | 5→0 | 5→0 | 4→3 | 3→1 | 3→0 | 5→0 | 3→0 | 4→3 | 5→0 | 4→0 | 4→0 | 2→0,E0:F2→2 up 0人 | E1:F2→3 up 0人
42,4,0,74,98,121,,1→0 | 1→0 | 5→0 | 5→0 | 5→0 | 4→0 | 1→0 | 3→0 | 5→0 | 5→0 | 4→3 | 3→1 | 3→0 | 5→0 | 3→0 | 4→3 | 5→0 | 4→0 | 4→0 | 2→0 | 4→0,E0:F2→3 up 0人 | E1:F2→3 up 0人
43,3,0,79,162,179,,1→0 | 1→0 | 5→0 | 5→0 | 5→0 | 4→0 | 1→0 | 3→0 | 5→0 | 5→0 | 4→3 | 3→1 | 3→0 | 5→0 | 3→0 | 4→3 | 5→0 | 4→0 | 4→0 | 2→0 | 4→0 | 4→0,E0:F3→3 up 0人 | E1:F3→4 up 0人
44,5,1,83,90,113,,1→0 | 1→0 | 5→0 | 5→0 | 5→0 | 4→0 | 1→0 | 3→0 | 5→0 | 5→0 | 4→3 | 3→1 | 3→0 | 5→0 | 3→0 | 4→3 | 5→0 | 4→0 | 4→0 | 2→0 | 4→0 | 4→0 | 3→0,E0:F3→4 up 0人 | E1:F4→4 up 0人
45,3,0,84,164,181,,1→0 | 1→0 | 5→0 | 5→0 | 5→0 | 4→0 | 1→0 | 3→0 | 5→0 | 5→0 | 4→3 | 3→1 | 3→0 | 5→0 | 3→0 | 4→3 | 5→0 | 4→0 | 4→0 | 2→0 | 4→0 | 4→0 | 3→0 | 5→1,E0:F3→4 up 0人 | E1:F4→5 up 0人
46,1,0,91,,,未接-超时(>200),1→0 | 1→0 | 4→0 | 1→0 | 3→0 | 4→3 | 3→1 | 3→0 | 3→0 | 4→3 | 4→0 | 4→0 | 2→0 | 4→0 | 4→0 | 3→0 | 3→0,E0:F5→5 up 0人 | E1:F5→4 down 8人
47,3,0,94,164,181,,1→0 | 1→0 | 4→0 | 1→0 | 3→0 | 4→3 | 3→1 | 3→0 | 3→0 | 4→3 | 4→0 | 4→0 | 2→0 | 4→0 | 4→0 | 3→0 | 3→0 | 1→0,E0:F5→4 down 0人 | E1:F5→4 down 8人
48,2,0,97,170,181,,1→0 | 1→0 | 4→0 | 1→0 | 3→0 | 4→3 | 3→1 | 3→0 | 3→0 | 4→3 | 4→0 | 4→0 | 2→0 | 4→0 | 4→0 | 3→0 | 3→0 | 1→0 | 3→0,E0:F4→4 down 0人 | E1:F4→3 down 8人
49,3,0,99,164,181,,1→0 | 1→0 | 1→0 | 3→0 | 3→1 | 3→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0,E0:F4→3 down 7人 | E1:F4→3 down 8人
50,3,0,104,164,181,,1→0 | 1→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0,E0:F3→2 down 8人 | E1:F3→2 down 8人
51,5,0,105,150,179,,1→0 | 1→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0,E0:F3→2 down 8人 | E1:F3→2 down 8人
52,5,0,111,150,179,,1→0 | 1→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 5→0,E0:F2→1 down 8人 | E1:F2→1 down 8人
53,1,0,115,,,未接-超时(>200),1→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 5→0 | 5→0,E0:F1→1 down 7人 | E1:F1→0 down 8人
54,2,0,116,170,181,,1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 5→0 | 5→0 | 1→0,E0:F1→0 down 8人 | E1:F1→0 down 8人
55,5,0,119,150,179,,1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 5→0 | 5→0 | 1→0 | 2→0,E0:F1→0 down 8人 | E1:F0→0 down 0人
56,5,0,122,150,179,,1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 5→0 | 5→0 | 1→0 | 2→0 | 5→0,E0:F0→1 up 0人 | E1:F0→1 up 0人
57,3,2,124,164,169,,1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 5→0 | 5→0 | 1→0 | 2→0 | 5→0 | 5→0,E0:F0→1 up 0人 | E1:F0→1 up 0人
58,3,2,127,164,169,,1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 5→0 | 5→0 | 1→0 | 2→0 | 5→0 | 5→0 | 3→2,E0:F1→1 up 0人 | E1:F1→2 up 0人
59,2,0,129,,,未接-超时(>200),1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 5→0 | 5→0 | 1→0 | 2→0 | 5→0 | 5→0 | 3→2 | 3→2,E0:F1→2 up 0人 | E1:F1→2 up 0人
60,3,0,130,164,181,,1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 5→0 | 5→0 | 1→0 | 2→0 | 5→0 | 5→0 | 3→2 | 3→2 | 2→0,E0:F1→2 up 0人 | E1:F1→2 up 0人
61,5,0,136,150,179,,1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 5→0 | 5→0 | 1→0 | 2→0 | 5→0 | 5→0 | 3→2 | 3→2 | 2→0 | 3→0,E0:F2→3 up 0人 | E1:F2→3 up 0人
62,5,0,138,150,179,,1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 5→0 | 5→0 | 1→0 | 2→0 | 5→0 | 5→0 | 3→2 | 3→2 | 2→0 | 3→0 | 5→0,E0:F2→3 up 0人 | E1:F3→4 up 0人
63,2,0,148,,,未接-超时(>200),1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 5→0 | 5→0 | 1→0 | 2→0 | 5→0 | 5→0 | 3→2 | 3→2 | 2→0 | 3→0 | 5→0 | 5→0,E0:F4→5 up 0人 | E1:F4→5 up 0人
